Temperature (°C),Fraction Formed
25,1.0
30,0.9621468244385414
35,0.8684496498430331
40,0.7190895918860178
45,0.6994687273605409
50,0.5644771794252597
52,0.6000362231345086
55,0.3295701521371649
57,0.0
